rank,search_url,search_keyword,title,author,doi_url,keywords,abstract,highlight,lang,search_site
28,https://academic.naver.com/article.naver?doc_id=555009064,car,Car ownership as a mediating variable in car travel behaviour research using a structural equation modelling approach to identify its dual relationship,"Veronique Van Acker, Frank Witlox",http://dx.doi.org/10.1016/j.jtrangeo.2009.05.006,"Car use, Car ownership, Structural equation model, Ghent","Car ownership is generally considered an important variable in car travel behaviour research, but its specific role is often not well understood. Certain empirical studies consider car ownership as the dependent variable explained by the built environment, whereas other studies deem it to be one of the independent variables explaining car travel behaviour. This paper takes note of the dual influence car ownership has in explaining car travel behaviour by assuming that car ownership mediates the relationship between the built environment and car use. The relationship is estimated using a structural equation model since it accounts for mediating variables. This approach confirms the intermediary nature of car ownership.",,eng,naver
29,https://academic.naver.com/article.naver?doc_id=429556155,car,Experimental study of heat transfer enhancement using water/ethylene glycol based nanofluids as a new coolant for car radiators,"Peyghambarzadeh S.M, Hashemabadi S.H, Hoseini S.M, Seifi Jamnani M",http://dx.doi.org/10.1016/j.icheatmasstransfer.2011.07.001,"Water/Al
						2O
						3 nanofluid, Ethylene glycol/Al
						2O
						3 nanofluid, Heat transfer enhancement, Car radiator, Cooling performance, Experimental study","Traditionally forced convection heat transfer in a car radiator is performed to cool circulating fluid which consisted of water or a mixture of water and anti-freezing materials like ethylene glycol (EG). In this paper, the heat transfer performance of pure water and pure EG has been compared with their binary mixtures. Furthermore, different amounts of Al2O3 nanoparticle have been added into these base fluids and its effects on the heat transfer performance of the car radiator have been determined experimentally. Liquid flow rate has been changed in the range of 2–6 l per minute and the fluid inlet temperature has been changed for all the experiments. The results demonstrate that nanofluids clearly enhance heat transfer compared to their own base fluid. In the best conditions, the heat transfer enhancement of about 40% compared to the base fluids has been recorded.",,eng,naver
30,https://academic.naver.com/article.naver?doc_id=346478392,car,Phase 1 Results of ZUMA-1: A Multicenter Study of KTE-C19 Anti-CD19 CAR T Cell Therapy in Refractory Aggressive Lymphoma,"Locke Frederick L, Neelapu Sattva S, Bartlett Nancy L, Siddiqi Tanya, Chavez Julio C, Hosing Chitra M, Ghobadi Armin, Budde Lihua E, Bot Adrian, Rossi John M, Jiang Yizhou, Xue Allen X, Elias Meg, Aycock Jeff, Wiezorek Jeff, Go William Y",http://dx.doi.org/10.1016/j.ymthe.2016.10.020,"CAR T, CD19, diffuse large B cell lymphoma, refractory NHL, KTE-C19, Adult, Aged, Antigens, CD19, immunology, Antineoplastic Combined Chemotherapy Protocols, therapeutic use, Biomarkers, CD28 Antigens, genetics, metabolism, Combined Modality Therapy, Disease Progression, Drug Resistance, Neoplasm, Female, Follow-Up Studies, Humans, Immunophenotyping, Immunotherapy, Adoptive, adverse effects, methods, Lymphoma, Large B-Cell, Diffuse, diagnosis, therapy, Lymphoma, Non-Hodgkin, Male, Middle Aged, Neoplasm Staging, Receptor-CD3 Complex, Antigen, T-Cell, Recombinant Fusion Proteins, T-Lymphocytes, Treatment Outcome","Outcomes for patients with refractory diffuse large B cell lymphoma (DLBCL) are poor. In the multicenter ZUMA-1 phase 1 study, we evaluated KTE-C19, an autologous CD3ζ/CD28-based chimeric antigen receptor (CAR) T cell therapy, in patients with refractory DLBCL. Patients received low-dose conditioning chemotherapy with concurrent cyclophosphamide (500 mg/m2) and fludarabine (30 mg/m2) for 3 days followed by KTE-C19 at a target dose of 2 × 106 CAR T cells/kg. The incidence of dose-limiting toxicity (DLT) was the primary endpoint. Seven patients were treated with KTE-C19 and one patient experienced a DLT of grade 4 cytokine release syndrome (CRS) and neurotoxicity. Grade ≥3 CRS and neurotoxicity were observed in 14% (n = 1/7) and 57% (n = 4/7) of patients, respectively. All other KTE-C19-related grade ≥3 events resolved within 1 month. The overall response rate was 71% (n = 5/7) and complete response (CR) rate was 57% (n = 4/7). Three patients have ongoing CR (all at 12+ months). CAR T cells demonstrated peak expansion within 2 weeks and continued to be detectable at 12+ months in patients with ongoing CR. This regimen of KTE-C19 was safe for further study in phase 2 and induced durable remissions in patients with refractory DLBCL.",,eng,naver
32,https://academic.naver.com/article.naver?doc_id=236272083,car,Exploring the influence of built environment on travel mode choice considering the mediating effects of car ownership and travel distance,"Ding Chuan, Wang Donggen, Liu Chao, Zhang Yi, Yang Jiawen",http://dx.doi.org/10.1016/j.tra.2017.04.008,"Built environment, Travel behavior, Car ownership, Mediating effect, Baltimore","Though there is a growing literature on the connection between the built environment and travel behavior, limited efforts have been made to consider the intermediary nature of car ownership and travel distance simultaneously while modeling the relationship between the built environment and travel mode choice behavior. The mediating effects from car ownership and travel distance, as an important piece, are not sufficiently investigated. To fill this gap, in this study the relationships among travel mode choice, car ownership and travel distance were described using a framework of integrated structural equation model (SEM) and discrete choice model (DCM). Drawing on a rich dataset of National Household Travel Survey (NHTS) and numerous built environment measurements in Baltimore metropolitan area, this research applied the integrated SEM and DCM approach to investigate how the built environment affects travel mode choice through influencing car ownership and travel distance. Therefore, the direct and indirect effects of built environment on travel mode choice were revealed. This study hopes to give transportation planners a better understanding on how the built environment influences travel mode choice, and consequently develop effective and targeted countermeasures to reduce car use.",,eng,naver
34,https://academic.naver.com/article.naver?doc_id=294698602,car,CAR: A virus receptor within the tight junction,"Coyne Carolyn B, Bergelson Jeffrey M",http://dx.doi.org/10.1016/j.addr.2005.01.007,"Coxsackievirus adenovirus receptor (CAR), Tight junction, Junctional adhesion molecule (JAM), Coxsackie virus B (CVB), Adenovirus (Ad), Amino Acid Sequence, Animals, Coxsackie and Adenovirus Receptor-Like Membrane Protein, Humans, Molecular Sequence Data, Receptors, Virus, chemistry, genetics, physiology, Tight Junctions, virology","The coxsackievirus and adenovirus receptor (CAR) mediates cell attachment and infection by coxsackie B viruses and by a number of adenoviruses. CAR also mediates homotypic intercellular interactions. In polarized epithelial cells, CAR is closely associated with the tight junction, where it contributes to the barrier to paracellular flow of solutes and macromolecules. CAR's biological roles are not well defined, but emerging evidence suggests that it may function during embryonic development and in regulating cell proliferation.",,eng,naver
36,https://academic.naver.com/article.naver?doc_id=234057496,car,A new car-following model with consideration of roadside memorial,"Tang T.Q, Wu Y.H, Caccetta L, Huang H.J",http://dx.doi.org/10.1016/j.physleta.2011.08.006,"Traffic flow, Car-following model, Roadside memorial","In this Letter, a car-following model with consideration of roadside memorial is proposed. The numerical results show that the proposed model can qualitatively describe the impacts of roadside memorial on traffic flow and the traffic risk coefficient. It is also shown that roadside memorial can enhance the traffic safety.","► A car-following model with consideration of roadside memorial has been developed. ► We use it to explore the effects of the roadside memorial on traffic system. ► Results show that it can describe complex phenomena resulted by roadside memorial. ► Whatʼs more, considering roadside memorial can improve traffic safety. ► The results help us understand effects of roadside memorial on traffic flow.",eng,naver
38,https://academic.naver.com/article.naver?doc_id=299598471,car,Nonlinear analysis of a new car-following model accounting for the optimal velocity changes with memory,"Peng Guanghan, Lu Weizhen, He Hongdi, Gu Zhenghua",http://dx.doi.org/10.1016/j.cnsns.2016.04.024,"Nonlinear analysis, Car-following model, Traffic flow, Stability","We, in this study, construct a new car-following model by accounting for the effect of the optimal velocity changes with memory in terms of the full velocity difference (FVD) model. The stability condition and mKdV equation concerning the optimal velocity changes with memory are derived through both linear stability and nonlinear analyses, respectively. Then, the space concerned can be divided into three regions classified as the stable, the metastable and the unstable ones. Moreover, it is shown that the effect of the optimal velocity changes with memory could enhance the stability of traffic flow. Furthermore, the numerical results verify that not only the sensitivity parameter of the optimal velocity changes with memory of driver but also the memory step could effectively stabilize the traffic flow. In addition, the stability of traffic flow is strengthened by increasing the memory step-size of optimal velocity changes and the intensity of drivers’ memory with such changes. Most importantly, the effect of the optimal velocity changes with memory may avoid the disadvantage of historical information, which decreases the stability of traffic flow on road.",,eng,naver
39,https://academic.naver.com/article.naver?doc_id=294637222,car,Levels and profiles of organochlorines and flame retardants in car and house dust from Kuwait and Pakistan: Implication for human exposure via dust ingestion,"Ali Nadeem, Ali Lulwa, Mehdi Toufeer, Dirtu Alin C, Al-Shammari Fatema, Neels Hugo, Covaci Adrian",http://dx.doi.org/10.1016/j.envint.2013.02.001,"Organochlorines, Flame retardants, Pakistan, Kuwait, Car and house dust, Human exposure","There are only few studies documenting indoor pollution in the Middle East and the Indian subcontinent. In present study, we have evaluated the occurrence of various organochlorines (OCs) and flame retardants (FRs) in dust from cars and houses of Pakistan and Kuwait. Polybrominated diphenyl ethers (PBDEs), novel brominated flame retardants (NBFRs), organophosphate FRs (PFRs), polychlorinated biphenyls (PCBs), and organochlorine pesticides (OCPs) were investigated in indoor dust from urban houses (N = 15 per country) and cars (N = 15 per country). PFRs were the major analytes in all four microenvironments, followed by PBDEs > NBFRs > OCPs > PCBs. For all classes of analytes, relatively lower levels were observed in car and house dust from Pakistan than Kuwait. Levels of ∑ PBDEs, ∑ NBFRs and ∑ PFRs were higher in car dust, while ∑ OCPs and ∑ PCBs were higher in house dust from both countries. ∑ PFRs occurred at average concentrations of 16,900, 87,900, 475, and 2500 ng/g in Kuwaiti house and car, and Pakistani house and car dust, respectively. For both countries, the profiles of analytes in car dust were different from those in the house dust. Different exposure scenarios using 5th percentile, median, mean, and 95th percentile levels were estimated for adult, taxi drivers and toddlers. For Kuwaiti toddlers, assuming high dust intake and mean and 95th percentile concentrations, the values computed for ∑ OCPs (1500 ng/kg bw/day) were higher than RfD values, while for ∑ PCBs (14.5 ng/kg bw/day) it was only two-fold lower than the corresponding RfDs.",,eng,naver
41,https://academic.naver.com/article.naver?doc_id=475050436,car,Incorporating human-factors in car-following models: A review of recent developments and research needs,"Saifuzzaman Mohammad, Zheng Zuduo",http://dx.doi.org/10.1016/j.trc.2014.09.008,"Car-following, Driver behavior, Human factors, Risk taking, Driver error","Over the past decades there has been a considerable development in the modeling of car-following (CF) behavior as a result of research undertaken by both traffic engineers and traffic psychologists. While traffic engineers seek to understand the behavior of a traffic stream, traffic psychologists seek to describe the human abilities and errors involved in the driving process. This paper provides a comprehensive review of these two research streams.It is necessary to consider human-factors in CF modeling for a more realistic representation of CF behavior in complex driving situations (for example, in traffic breakdowns, crash-prone situations, and adverse weather conditions) to improve traffic safety and to better understand widely-reported puzzling traffic flow phenomena, such as capacity drop, stop-and-go oscillations, and traffic hysteresis. While there are some excellent reviews of CF models available in the literature, none of these specifically focuses on the human factors in these models.This paper addresses this gap by reviewing the available literature with a specific focus on the latest advances in car-following models from both the engineering and human behavior points of view. In so doing, it analyses the benefits and limitations of various models and highlights future research needs in the area.",,eng,naver
42,https://academic.naver.com/article.naver?doc_id=297742963,car,Structural Design of Engineered Costimulation Determines Tumor Rejection Kinetics and Persistence of CAR T Cells,"Zhao Zeguo, Condomines Maud, van der Stegen Sjoukje J.C, Perna Fabiana, Kloss Christopher C, Gunset Gertrude, Plotkin Jason, Sadelain Michel",http://dx.doi.org/10.1016/j.ccell.2015.09.004,"Antigens, CD137, biosynthesis, genetics, immunology, Antigens, CD19, metabolism, Antigens, CD28, Hematologic Neoplasms, pathology, therapy, Humans, Immunotherapy, Adoptive, Interferon Regulatory Factor-7, Interferon-gamma, Kinetics, Lymphocyte Activation, Receptors, Antigen, Recombinant Proteins, Signal Transduction, T-Lymphocytes","T cell engineering is a powerful means to rapidly generate anti-tumor T cells. The costimulatory properties of second-generation chimeric antigen receptors (CARs) determine the overall potency of adoptively transferred T cells. Using an in vivo “stress test” to challenge CD19-targeted T cells, we studied the functionality and persistence imparted by seven different CAR structures providing CD28 and/or 4-1BB costimulation. One configuration, which uses two signaling domains (CD28 and CD3ζ) and the 4-1BB ligand, provided the highest therapeutic efficacy, showing balanced tumoricidal function and increased T cell persistence accompanied by an elevated CD8/CD4 ratio and decreased exhaustion. Remarkably, induction of the IRF7/IFNβ pathway was required for optimal anti-tumor activity. Thus, 1928z-41BBL T cells possess strikingly potent intrinsic and immunomodulatory qualities.",Download : Download high-res image (200KB)Download : Download full-size image,eng,naver
43,https://academic.naver.com/article.naver?doc_id=427842393,car,Full velocity difference and acceleration model for a car-following theory,"Yu Shaowei, Liu Qingling, Li Xiuhai",http://dx.doi.org/10.1016/j.cnsns.2012.09.014,"Traffic flow, Car-following model, FVD model, Acceleration of the leading car","In order to describe the car-following behavior more actually in real traffic, a full velocity difference and acceleration model (for short, FVDAM) is proposed by synthetically taking into account headway, velocity difference and acceleration of the leading car on the basis of full velocity difference model. The analytical method and numerical simulation results show that the proposed model can describe the phase transition of traffic flow and estimate the evolution of traffic congestion, that incorporating the acceleration of the leading car into car-following model can stabilize traffic flow, suppress the traffic jam and increase capacity, and that the following car in FVDAM can accelerate more quickly than in FVDM.",► We model the car-following behavior with consideration of ITS application. ► We conduct the linear stability analysis and give the stable criterion. ► The following cars in FVDAM react more quickly than those in FVDM. ► The stability of FVDAM is more stable than that of FVDM.,eng,naver
47,https://academic.naver.com/article.naver?doc_id=295106762,car,Cognitive load and detection thresholds in car following situations: safety implications for using mobile (cellular) telephones while driving,"Lamble Dave, Kauranen Tatu, Laakso Matti, Summala Heikki",http://dx.doi.org/10.1016/S0001-4575(99)00018-4,"Mobile phones, Cellular phones, Time-to-collision, Car-following, Cognitive load, Headway detection, Brake reaction time, Traffic safety, Adult, Attention, Automobile Driving, Female, Humans, Male, Safety, Telephone","This study was aimed at investigating drivers’ ability to detect a car ahead decelerating, while doing mobile phone related tasks. Nineteen participants aged between 20 and 29 years, (2000–125 000 km driving experience) drove at 80 km/h, 50 m behind a lead car, on a 30 km section of motorway in normal traffic. During each trial the lead car started to decelerate at an average of 0.47 m/s2 while the participant either looked at the car in front (control), continuously dialed series of three random integers on a numeric keypad (divided visual attention), or performed a memory and addition task (non-visual attention). The results indicated that drivers’ detection ability was impaired by about 0.5 s in terms of brake reaction time and almost 1 s in terms of time-to-collision, when they were doing the non-visual task whilst driving. This impairment was similar to when the drivers were dividing their visual attention between the road ahead and dialing numbers on the keypad. It was concluded that neither a hands-free option nor a voice controlled interface removes the safety problems associated with the use of mobile phones in a car.",,eng,naver
50,https://academic.naver.com/article.naver?doc_id=236224340,car,Mobility and environmental impacts of car sharing in the Netherlands,"Nijland Hans, van Meerkerk Jordy",http://dx.doi.org/10.1016/j.eist.2017.02.001,"Car sharing, Environmental impact","This research aims to quantify the effects of car sharing on car ownership, car use and CO2 emissions. The results are based on a survey amongst 363 car sharing respondents in the Netherlands. We found over 30% less car ownership amongst car sharers and they drove 15% to 20% fewer car kilometres than prior to car sharing. The shared cars mostly replace a second or third car.Due to reduced car ownership and car use, car sharers emit between 240 and 390 fewer kilograms of CO2 per person, per year. This is between 13% and 18% of the CO2 emissions related to car ownership and car use.",,eng,naver
4,https://academic.naver.com/article.naver?doc_id=551216801,car,"Car use: lust and must. Instrumental, symbolic and affective motives for car use",Linda Steg,http://dx.doi.org/10.1016/j.tra.2004.07.001,"Car use, Motives, Instrumental function, Symbolic function, Affect","This paper reports results of two questionnaire studies aimed at examining various motives for car use. In the first study, a random selection of 185 respondents who possess a driving licence were interviewed. Respondents were recruited from the cities of Groningen and Rotterdam, The Netherlands. The sample of the second study comprised a random selection of 113 commuters who regularly travelled during rush hours in and around Rotterdam, a region in the west of the Netherlands. First, it was examined which categories of car use motives may be distinguished. As proposed by Dittmar’s (1992) [The social psychology of material possessions: to have is to be. Havester Wheatsheaf, Hemel Hempstead, UK; St. Martin’s Press, New York] model on the meaning of material possessions, results from both studies revealed that car use not only fulfils instrumental functions, but also important symbolic and affective functions. Second, it was studied to what extent these different motives are related to the level of car use. From the results of study 2, it appeared that commuter car use was most strongly related to symbolic and affective motives, and not to instrumental motives. Third, individual differences in the relative importance of the three categories of motives were investigated. In both studies, most group differences were found in the evaluation of the symbolic and affective motives (and not the instrumental ones). Especially frequent drivers, respondents with a positive car attitude, male and younger respondents valued these non-instrumental motives for car use. These results suggest that policy makers should not exclusively focus on instrumental motives for car use, but they should consider the many social and affective motives as well.",,eng,naver
6,https://academic.naver.com/article.naver?doc_id=294878072,car,What will be the environmental effects of new free-floating car-sharing systems? The case of car2go in Ulm,"Firnkorn Jörg, Müller Martin",http://dx.doi.org/10.1016/j.ecolecon.2011.03.014,"Car-sharing, Environmental effect, Free-floating system, Public–private transportation, Product–service system","The purpose of this paper is the discussion of the environmental effects of a free-floating car-sharing system operating in Ulm, Germany. The system, called car2go, allows users to take and leave vehicles at any point within the city limits. Thus opposed to traditional car-sharing, there are no fixed stations and in particular one-way trips of any length are possible without a booking requirement. Since this is the first free-floating system in operation, there is as yet no associated empirical research. Based on primary data from a survey, a model was developed to forecast the environmental impact of car2go. The prognosis considers the period of five years after the launch of car2go in 2009 and indicates a CO2-reduction per average car2go-user. In addition, more than a quarter of the survey respondents stated that they may forgo a car purchase if car2go was offered permanently. By reaching a greater share of citizens than traditional systems, the results indicate that free-floating car-sharing systems could contribute to reducing private vehicle ownership in cities.","► This study discusses the environmental effects of a free-floating car-sharing system. ► The applied research design is a forecast, based on a quantitative survey. ► The results are similar per average car-sharing user compared to traditional systems. ► But through a higher market penetration more users are reached. ► Free-floating fleets could reduce car ownership in cities.",eng,naver
8,https://academic.naver.com/article.naver?doc_id=531870151,car,Car-following: a historical review,"Mark Brackstone, Mike McDonald",http://dx.doi.org/10.1016/S1369-8478(00)00005-X,"Car-following, Microscopic simulation modelling, Calibration, Time-series","In recent years, the topic of car-following has become of increased importance in traffic engineering and safety research. Models of this phenomenon, which describe the interaction between (typically) adjacent vehicles in the same lane, now form the cornerstone for many important areas of research including (a) simulation modelling, where the car-following model (amongst others) controls the motion of the vehicles in the network, and (b) the functional definition of advanced vehicle control and safety systems (AVCSS), which are being introduced as a driver safety aid in an effort to mimic driver behaviour but remove human error. Despite the importance of this area however, no overview of the models availability and validity exists. It is the intent of this paper therefore to briefly assess the range of options available in the choice of car-following model, and assess just how far work has proceeded in our understanding of what, at times, would appear to be a simple process.",,eng,naver
